market,ticker,date,close,ret,volume,turnover,mkt_cap,sector
CN,CN01,2024-01-02,100.01615811430733,-0.00027534143137497146,13976107.979329417,0.029248037886204975,13460103704.520163,Industrials
CN,CN01,2024-01-03,98.0823022845484,-0.01933543405605266,14655139.96614099,0.03262124814442679,13199846756.953783,Industrials
CN,CN01,2024-01-04,98.86177133801051,0.007947091731194981,13243869.597795596,0.03043504588889776,13304747149.969011,Industrials
CN,CN01,2024-01-05,99.83062797739508,0.009800114101456123,14291151.583243817,0.0188348419656076,13435135190.12973,Industrials
CN,CN01,2024-01-08,100.10202076763764,0.002718532335627478,15378726.004308408,0.02921746691612104,13471659039.577627,Industrials
CN,CN01,2024-01-09,100.21075136143662,0.0010861977906657366,16447024.34506588,0.02828813429293031,13486291925.863018,Industrials
CN,CN01,2024-01-10,100.7729341412077,0.005610004636562482,14125099.39470767,0.029655561141490774,13561950086.097145,Industrials
CN,CN01,2024-01-11,102.35508714975788,0.01570017804912963,14215024.271918643,0.03446483872660483,13774875117.142282,Industrials
CN,CN01,2024-01-12,100.92460928127292,-0.013975640178899842,12423253.164313614,0.01974704689278103,13582362418.995821,Industrials
CN,CN01,2024-01-15,99.57334113454405,-0.013388886579317295,14804800.89534611,0.02563558629923558,13400509709.088705,Industrials
CN,CN01,2024-01-16,99.13544476464287,-0.0043977269910979045,13725102.705768524,0.03036362529117342,13341577925.846577,Industrials
CN,CN01,2024-01-17,99.26573651509186,0.0013142801826161394,14364672.687160712,0.02167362240218423,13359112497.319344,Industrials
CN,CN01,2024-01-18,97.7135910808968,-0.015636265731621007,13947767.066198895,0.033903796192214036,13150225864.37264,Industrials
CN,CN01,2024-01-19,99.2888972363346,0.01612166882837819,14886884.934896931,0.029473426450802635,13362229450.77643,Industrials
CN,CN01,2024-01-22,99.39797101643781,0.0010985496177239313,12890725.930372043,0.03138633594337362,13376908522.831518,Industrials
CN,CN01,2024-01-23,97.07142364034017,-0.02340638699468909,13239545.705530811,0.02571622535391282,13063803425.15357,Industrials
CN,CN01,2024-01-24,96.18511512037735,-0.009130478226493214,17555096.534433957,0.03125505475986484,12944524652.425016,Industrials
CN,CN01,2024-01-25,95.92452420771289,-0.0027092644463576282,13455092.902471162,0.032273886223956154,12909454512.009201,Industrials
CN,CN01,2024-01-26,97.53336093105682,0.016771902041027527,13683857.305854432,0.028931512080548675,13125970618.487719,Industrials
CN,CN01,2024-01-29,99.87538699059874,0.024012563877476065,17204296.233985577,0.028937603570794786,13441158826.418028,Industrials
CN,CN01,2024-01-30,103.27611965290389,0.03404975705000528,18486080.603088487,0.029081372957126903,13898827018.928097,Industrials
CN,CN01,2024-01-31,103.32736960956963,0.000496242082274099,13594120.04540959,0.024546618941042472,13905724201.789137,Industrials
CN,CN01,2024-02-01,103.04934991076081,-0.0026906685020565094,14558101.251854364,0.02740988527903859,13868308507.681099,Industrials
CN,CN01,2024-02-02,101.57744856293647,-0.014283460779703955,15409866.661128612,0.027389909870190566,13503801364.93863,Industrials
CN,CN01,2024-02-05,102.85211241494858,0.012548689399521069,19123369.634081118,0.0318962614940071,13511210757.600807,Industrials
CN,CN01,2024-02-06,102.86524405374459,0.00012767495472561924,15473664.08659245,0.034559240746652474,13350801271.731363,Industrials
CN,CN01,2024-02-07,102.78768137486448,-0.0007540222122021335,16470346.575053805,0.025667124125853275,13340734471.021782,Industrials
CN,CN01,2024-02-08,102.34441753031102,-0.004312421864414729,17844741.702226985,0.02969996098901943,13283203596.001596,Industrials
CN,CN01,2024-02-09,104.35882384514967,0.01968262034655729,17384325.604083136,0.03663988796588676,13305554184.63969,Industrials
CN,CN01,2024-02-12,107.9376726864663,0.03429368700654404,19879224.413125433,0.031892684644805075,13522350719.972822,Industrials
CN,CN01,2024-02-13,111.78720880017723,0.03566443501976297,18104083.179948516,0.02915897991838969,13761215405.580229,Industrials
CN,CN01,2024-02-14,111.2942041112855,-0.004410206625455564,16287152.536546348,0.03399488522544323,13700525602.224216,Industrials
